model,dataset,batch,frequency,resource,epoch_time,epoch_energy
resnet50,cifar10,64,800,40,31.57,4090.12
resnet50,cifar10,64,800,50,25.14,3909.90
resnet50,cifar10,64,800,60,25.69,3847.89
resnet50,cifar10,64,800,70,33.04,4321.09
resnet50,cifar10,64,800,80,30.83,4042.40
resnet50,cifar10,64,800,90,32.72,4245.07
resnet50,cifar10,64,800,100,31.34,4084.63
resnet50,cifar10,64,900,40,31.63,4274.03
resnet50,cifar10,64,900,50,32.10,4230.69
resnet50,cifar10,64,900,60,30.42,4010.50
resnet50,cifar10,64,900,70,28.56,3959.02
resnet50,cifar10,64,900,80,27.78,3897.79
resnet50,cifar10,64,900,90,31.13,4144.56
resnet50,cifar10,64,900,100,31.81,4145.08
resnet50,cifar10,64,1000,40,31.69,4308.86
resnet50,cifar10,64,1000,50,32.21,4227.40
resnet50,cifar10,64,1000,60,30.39,4022.16
resnet50,cifar10,64,1000,70,32.80,4289.44
resnet50,cifar10,64,1000,80,31.75,4147.17
resnet50,cifar10,64,1000,90,31.86,4120.74
resnet50,cifar10,64,1000,100,31.74,4183.63
resnet50,cifar10,64,1100,40,23.59,4389.13
resnet50,cifar10,64,1100,50,29.66,4056.17
resnet50,cifar10,64,1100,60,31.85,4189.96
resnet50,cifar10,64,1100,70,32.50,4272.20
resnet50,cifar10,64,1100,80,31.88,4179.22
resnet50,cifar10,64,1100,90,31.55,4195.55
resnet50,cifar10,64,1100,100,31.45,4168.70
resnet50,cifar10,64,1200,40,32.68,4391.71
resnet50,cifar10,64,1200,50,32.86,4233.26
resnet50,cifar10,64,1200,60,31.65,4105.32
resnet50,cifar10,64,1200,70,32.67,4215.93
resnet50,cifar10,64,1200,80,31.03,4172.21
resnet50,cifar10,64,1200,90,32.00,4204.43
resnet50,cifar10,64,1200,100,28.95,3903.07
resnet50,cifar10,64,1300,40,29.83,4426.57
resnet50,cifar10,64,1300,50,31.94,4228.87
resnet50,cifar10,64,1300,60,33.09,4315.79
resnet50,cifar10,64,1300,70,33.39,4307.80
resnet50,cifar10,64,1300,80,31.83,4200.61
resnet50,cifar10,64,1300,90,31.46,4198.58
resnet50,cifar10,64,1300,100,31.64,4127.64
resnet50,cifar10,64,1400,40,33.11,4330.78
resnet50,cifar10,64,1400,50,33.05,4189.96
resnet50,cifar10,64,1400,60,32.99,4289.50
resnet50,cifar10,64,1400,70,31.74,4185.16
resnet50,cifar10,64,1400,80,31.53,4181.00
resnet50,cifar10,64,1400,90,29.16,4021.62
resnet50,cifar10,64,1400,100,31.37,4194.25
resnet50,cifar10,64,1500,40,30.49,4447.03
resnet50,cifar10,64,1500,50,31.54,4124.84
resnet50,cifar10,64,1500,60,31.94,4162.08
resnet50,cifar10,64,1500,70,33.30,4273.43
resnet50,cifar10,64,1500,80,31.80,4179.29
resnet50,cifar10,64,1500,90,31.98,4225.92
resnet50,cifar10,64,1500,100,31.66,4174.27
resnet50,cifar10,128,800,40,21.81,4118.14
resnet50,cifar10,128,800,50,19.18,3925.06
resnet50,cifar10,128,800,60,20.75,3450.73
resnet50,cifar10,128,800,70,22.31,3440.56
resnet50,cifar10,128,800,80,21.00,3370.79
resnet50,cifar10,128,800,90,17.22,3145.04
resnet50,cifar10,128,800,100,21.40,3350.55
resnet50,cifar10,128,900,40,19.14,3955.88
resnet50,cifar10,128,900,50,17.32,3812.18
resnet50,cifar10,128,900,60,17.41,3647.22
resnet50,cifar10,128,900,70,19.19,3529.00
resnet50,cifar10,128,900,80,20.87,3302.24
resnet50,cifar10,128,900,90,20.68,3286.00
resnet50,cifar10,128,900,100,21.52,3363.28
resnet50,cifar10,128,1000,40,21.81,4190.34
resnet50,cifar10,128,1000,50,21.24,4108.64
resnet50,cifar10,128,1000,60,20.36,3422.67
resnet50,cifar10,128,1000,70,21.04,3287.86
resnet50,cifar10,128,1000,80,21.36,3352.72
resnet50,cifar10,128,1000,90,19.50,3195.50
resnet50,cifar10,128,1000,100,20.55,3231.33
resnet50,cifar10,128,1100,40,21.01,4061.93
resnet50,cifar10,128,1100,50,21.68,4103.89
resnet50,cifar10,128,1100,60,21.02,3298.88
resnet50,cifar10,128,1100,70,20.81,3225.61
resnet50,cifar10,128,1100,80,16.43,3643.57
resnet50,cifar10,128,1100,90,20.90,3271.42
resnet50,cifar10,128,1100,100,20.93,3308.11
resnet50,cifar10,128,1200,40,21.97,4163.56
resnet50,cifar10,128,1200,50,17.33,3810.42
resnet50,cifar10,128,1200,60,20.96,3322.97
resnet50,cifar10,128,1200,70,20.94,3232.09
resnet50,cifar10,128,1200,80,20.71,3242.81
resnet50,cifar10,128,1200,90,20.82,3289.49
resnet50,cifar10,128,1200,100,20.31,3210.09
resnet50,cifar10,128,1300,40,22.05,4153.05
resnet50,cifar10,128,1300,50,21.15,4052.42
resnet50,cifar10,128,1300,60,21.06,3404.36
resnet50,cifar10,128,1300,70,21.05,3309.14
resnet50,cifar10,128,1300,80,20.81,3228.08
resnet50,cifar10,128,1300,90,18.66,3203.48
resnet50,cifar10,128,1300,100,21.02,3258.15
resnet50,cifar10,128,1400,40,21.63,4171.73
resnet50,cifar10,128,1400,50,19.70,3934.33
resnet50,cifar10,128,1400,60,19.82,3591.82
resnet50,cifar10,128,1400,70,21.03,3460.99
resnet50,cifar10,128,1400,80,20.44,3358.42
resnet50,cifar10,128,1400,90,20.77,3266.49
resnet50,cifar10,128,1400,100,20.88,3257.74
resnet50,cifar10,128,1500,40,21.46,4138.76
resnet50,cifar10,128,1500,50,21.16,4099.89
resnet50,cifar10,128,1500,60,20.93,3264.63
