2023-05-29 13:32:29,927 INFO: 加载预训练的ResNet模型
2023-05-29 13:32:30,379 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 13:32:31,886 INFO: 定义损失函数和优化器
2023-05-29 13:32:31,887 INFO: 定义数据预处理
2023-05-29 13:32:31,887 INFO: 加载训练集和测试集
2023-05-29 13:32:33,527 INFO: 开始训练
2023-05-29 13:33:11,993 INFO: Epoch 1/10, Loss: 2.352283980296208
2023-05-29 13:33:11,996 INFO: Epoch 1 elapsed time: 38465.76953125 ms, energy Usage: 2514.758 J
2023-05-29 13:33:48,858 INFO: Epoch 2/10, Loss: 2.2882478915728055
2023-05-29 13:33:48,861 INFO: Epoch 2 elapsed time: 36862.984375 ms, energy Usage: 2467.043 J
2023-05-29 13:34:25,630 INFO: Epoch 3/10, Loss: 2.2387631226808598
2023-05-29 13:34:25,633 INFO: Epoch 3 elapsed time: 36769.140625 ms, energy Usage: 2459.635 J
2023-05-29 13:35:02,263 INFO: Epoch 4/10, Loss: 2.194012408378797
2023-05-29 13:35:02,269 INFO: Epoch 4 elapsed time: 36629.93359375 ms, energy Usage: 2445.705 J
2023-05-29 13:35:38,848 INFO: Epoch 5/10, Loss: 2.1515029784960626
2023-05-29 13:35:38,851 INFO: Epoch 5 elapsed time: 36579.1640625 ms, energy Usage: 2437.717 J
2023-05-29 13:36:15,640 INFO: Epoch 6/10, Loss: 2.110339544980954
2023-05-29 13:36:15,643 INFO: Epoch 6 elapsed time: 36789.921875 ms, energy Usage: 2457.141 J
2023-05-29 13:36:52,443 INFO: Epoch 7/10, Loss: 2.069985160460839
2023-05-29 13:36:52,446 INFO: Epoch 7 elapsed time: 36799.86328125 ms, energy Usage: 2457.718 J
2023-05-29 13:37:29,174 INFO: Epoch 8/10, Loss: 2.0302005382684563
2023-05-29 13:37:29,178 INFO: Epoch 8 elapsed time: 36728.40625 ms, energy Usage: 2456.95 J
2023-05-29 13:38:05,947 INFO: Epoch 9/10, Loss: 1.9909990790562753
2023-05-29 13:38:05,950 INFO: Epoch 9 elapsed time: 36769.4296875 ms, energy Usage: 2454.44 J
2023-05-29 13:38:42,678 INFO: Epoch 10/10, Loss: 1.9523448989941523
2023-05-29 13:38:42,681 INFO: Epoch 10 elapsed time: 36729.05078125 ms, energy Usage: 2457.593 J
2023-05-29 13:38:42,684 INFO: Total energy Usage: 24608.7 J
