2023-05-29 06:38:28,905 INFO: 加载预训练的ResNet模型
2023-05-29 06:38:29,377 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 06:38:30,938 INFO: 定义损失函数和优化器
2023-05-29 06:38:30,938 INFO: 定义数据预处理
2023-05-29 06:38:30,939 INFO: 加载训练集和测试集
2023-05-29 06:38:32,578 INFO: 开始训练
2023-05-29 06:39:03,600 INFO: Epoch 1/15, Loss: 0.9657764208438756
2023-05-29 06:39:03,603 INFO: Epoch 1 elapsed time: 31022.703125 ms, energy Usage: 1908.895 J
2023-05-29 06:39:32,921 INFO: Epoch 2/15, Loss: 0.43436035986446664
2023-05-29 06:39:32,927 INFO: Epoch 2 elapsed time: 29317.8125 ms, energy Usage: 1875.885 J
2023-05-29 06:40:02,314 INFO: Epoch 3/15, Loss: 0.2207943677254345
2023-05-29 06:40:02,317 INFO: Epoch 3 elapsed time: 29387.34765625 ms, energy Usage: 1873.855 J
2023-05-29 06:40:31,715 INFO: Epoch 4/15, Loss: 0.12825086321252996
2023-05-29 06:40:31,723 INFO: Epoch 4 elapsed time: 29398.314453125 ms, energy Usage: 1882.049 J
2023-05-29 06:41:01,156 INFO: Epoch 5/15, Loss: 0.09322242084842966
2023-05-29 06:41:01,158 INFO: Epoch 5 elapsed time: 29432.849609375 ms, energy Usage: 1893.227 J
2023-05-29 06:41:30,530 INFO: Epoch 6/15, Loss: 0.07590093342182429
2023-05-29 06:41:30,537 INFO: Epoch 6 elapsed time: 29372.236328125 ms, energy Usage: 1886.723 J
2023-05-29 06:41:59,898 INFO: Epoch 7/15, Loss: 0.06282424972966656
2023-05-29 06:41:59,901 INFO: Epoch 7 elapsed time: 29361.814453125 ms, energy Usage: 1883.951 J
2023-05-29 06:42:29,279 INFO: Epoch 8/15, Loss: 0.05465486908898405
2023-05-29 06:42:29,282 INFO: Epoch 8 elapsed time: 29378.2578125 ms, energy Usage: 1879.333 J
2023-05-29 06:42:58,623 INFO: Epoch 9/15, Loss: 0.04427200938096208
2023-05-29 06:42:58,626 INFO: Epoch 9 elapsed time: 29341.537109375 ms, energy Usage: 1885.93 J
2023-05-29 06:43:28,034 INFO: Epoch 10/15, Loss: 0.03807374258356555
2023-05-29 06:43:28,037 INFO: Epoch 10 elapsed time: 29409.091796875 ms, energy Usage: 1884.166 J
2023-05-29 06:43:57,468 INFO: Epoch 11/15, Loss: 0.03506387769878196
2023-05-29 06:43:57,506 INFO: Epoch 11 elapsed time: 29431.435546875 ms, energy Usage: 1893.509 J
2023-05-29 06:44:26,997 INFO: Epoch 12/15, Loss: 0.03485941134757646
2023-05-29 06:44:27,001 INFO: Epoch 12 elapsed time: 29491.671875 ms, energy Usage: 1905.857 J
2023-05-29 06:44:56,418 INFO: Epoch 13/15, Loss: 0.03247933806625226
2023-05-29 06:44:56,421 INFO: Epoch 13 elapsed time: 29416.8359375 ms, energy Usage: 1887.244 J
2023-05-29 06:45:25,779 INFO: Epoch 14/15, Loss: 0.03163392476343295
2023-05-29 06:45:25,783 INFO: Epoch 14 elapsed time: 29358.669921875 ms, energy Usage: 1881.332 J
2023-05-29 06:45:55,167 INFO: Epoch 15/15, Loss: 0.029492587769342125
2023-05-29 06:45:55,175 INFO: Epoch 15 elapsed time: 29384.2109375 ms, energy Usage: 1878.258 J
2023-05-29 06:45:55,180 INFO: Total energy Usage: 28314.364 J
