2023-05-29 13:46:03,025 INFO: 加载预训练的ResNet模型
2023-05-29 13:46:03,476 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 13:46:04,962 INFO: 定义损失函数和优化器
2023-05-29 13:46:04,963 INFO: 定义数据预处理
2023-05-29 13:46:04,963 INFO: 加载训练集和测试集
2023-05-29 13:46:06,599 INFO: 开始训练
2023-05-29 13:47:01,647 INFO: Epoch 1/10, Loss: 2.355346332910733
2023-05-29 13:47:01,650 INFO: Epoch 1 elapsed time: 55048.42578125 ms, energy Usage: 3711.545 J
2023-05-29 13:47:55,083 INFO: Epoch 2/10, Loss: 2.290629614010835
2023-05-29 13:47:55,085 INFO: Epoch 2 elapsed time: 53432.8671875 ms, energy Usage: 3691.787 J
2023-05-29 13:48:48,174 INFO: Epoch 3/10, Loss: 2.238820179609152
2023-05-29 13:48:48,177 INFO: Epoch 3 elapsed time: 53089.46875 ms, energy Usage: 3648.359 J
2023-05-29 13:49:41,218 INFO: Epoch 4/10, Loss: 2.192159964488103
2023-05-29 13:49:41,224 INFO: Epoch 4 elapsed time: 53041.1796875 ms, energy Usage: 3659.804 J
2023-05-29 13:50:34,587 INFO: Epoch 5/10, Loss: 2.148732067682804
2023-05-29 13:50:34,591 INFO: Epoch 5 elapsed time: 53362.921875 ms, energy Usage: 3669.316 J
2023-05-29 13:51:27,681 INFO: Epoch 6/10, Loss: 2.107588031200262
2023-05-29 13:51:27,686 INFO: Epoch 6 elapsed time: 53089.5234375 ms, energy Usage: 3666.978 J
2023-05-29 13:52:20,775 INFO: Epoch 7/10, Loss: 2.068140583542677
2023-05-29 13:52:20,777 INFO: Epoch 7 elapsed time: 53088.765625 ms, energy Usage: 3658.177 J
2023-05-29 13:53:14,126 INFO: Epoch 8/10, Loss: 2.0300079735425802
2023-05-29 13:53:14,129 INFO: Epoch 8 elapsed time: 53349.3515625 ms, energy Usage: 3672.06 J
2023-05-29 13:54:07,171 INFO: Epoch 9/10, Loss: 1.9929564197858174
2023-05-29 13:54:07,181 INFO: Epoch 9 elapsed time: 53042.7421875 ms, energy Usage: 3653.006 J
2023-05-29 13:54:58,964 INFO: Epoch 10/10, Loss: 1.956815934028381
2023-05-29 13:54:58,971 INFO: Epoch 10 elapsed time: 51783.3359375 ms, energy Usage: 3479.237 J
2023-05-29 13:54:58,975 INFO: Total energy Usage: 36517.394 J
