2023-05-29 08:24:43,126 INFO: 加载预训练的ResNet模型
2023-05-29 08:24:43,601 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 08:24:45,109 INFO: 定义损失函数和优化器
2023-05-29 08:24:45,110 INFO: 定义数据预处理
2023-05-29 08:24:45,110 INFO: 加载训练集和测试集
2023-05-29 08:24:46,749 INFO: 开始训练
2023-05-29 08:25:18,526 INFO: Epoch 1/15, Loss: 0.978115559157813
2023-05-29 08:25:18,530 INFO: Epoch 1 elapsed time: 31777.048828125 ms, energy Usage: 2057.418 J
2023-05-29 08:25:48,864 INFO: Epoch 2/15, Loss: 0.4323052019261948
2023-05-29 08:25:48,867 INFO: Epoch 2 elapsed time: 30334.537109375 ms, energy Usage: 2032.258 J
2023-05-29 08:26:19,175 INFO: Epoch 3/15, Loss: 0.22116468023613592
2023-05-29 08:26:19,180 INFO: Epoch 3 elapsed time: 30308.142578125 ms, energy Usage: 2026.226 J
2023-05-29 08:26:49,477 INFO: Epoch 4/15, Loss: 0.1308374105359587
2023-05-29 08:26:49,481 INFO: Epoch 4 elapsed time: 30297.69140625 ms, energy Usage: 2027.38 J
2023-05-29 08:27:19,767 INFO: Epoch 5/15, Loss: 0.0967715897113847
2023-05-29 08:27:19,770 INFO: Epoch 5 elapsed time: 30286.427734375 ms, energy Usage: 2024.818 J
2023-05-29 08:27:50,059 INFO: Epoch 6/15, Loss: 0.07114960313977106
2023-05-29 08:27:50,067 INFO: Epoch 6 elapsed time: 30289.50390625 ms, energy Usage: 2025.479 J
2023-05-29 08:28:20,340 INFO: Epoch 7/15, Loss: 0.058860963212845424
2023-05-29 08:28:20,343 INFO: Epoch 7 elapsed time: 30273.775390625 ms, energy Usage: 2026.884 J
2023-05-29 08:28:50,637 INFO: Epoch 8/15, Loss: 0.05907817625338235
2023-05-29 08:28:50,643 INFO: Epoch 8 elapsed time: 30294.248046875 ms, energy Usage: 2023.274 J
2023-05-29 08:29:20,895 INFO: Epoch 9/15, Loss: 0.04519801808323454
2023-05-29 08:29:20,900 INFO: Epoch 9 elapsed time: 30252.220703125 ms, energy Usage: 2025.467 J
2023-05-29 08:29:51,163 INFO: Epoch 10/15, Loss: 0.03976349506998801
2023-05-29 08:29:51,170 INFO: Epoch 10 elapsed time: 30263.83203125 ms, energy Usage: 2022.824 J
2023-05-29 08:30:21,427 INFO: Epoch 11/15, Loss: 0.036645090813055406
2023-05-29 08:30:21,430 INFO: Epoch 11 elapsed time: 30257.634765625 ms, energy Usage: 2019.883 J
2023-05-29 08:30:51,696 INFO: Epoch 12/15, Loss: 0.03584972904671146
2023-05-29 08:30:51,699 INFO: Epoch 12 elapsed time: 30266.126953125 ms, energy Usage: 2030.1 J
2023-05-29 08:31:21,960 INFO: Epoch 13/15, Loss: 0.035910754595571165
2023-05-29 08:31:21,968 INFO: Epoch 13 elapsed time: 30261.44921875 ms, energy Usage: 2019.262 J
2023-05-29 08:31:52,230 INFO: Epoch 14/15, Loss: 0.03147974151068741
2023-05-29 08:31:52,238 INFO: Epoch 14 elapsed time: 30261.720703125 ms, energy Usage: 2024.785 J
2023-05-29 08:32:22,493 INFO: Epoch 15/15, Loss: 0.0268892491947326
2023-05-29 08:32:22,499 INFO: Epoch 15 elapsed time: 30256.173828125 ms, energy Usage: 2023.709 J
2023-05-29 08:32:22,502 INFO: Total energy Usage: 30416.822 J
