2023-05-29 06:55:05,763 INFO: 加载预训练的ResNet模型
2023-05-29 06:55:06,234 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 06:55:07,727 INFO: 定义损失函数和优化器
2023-05-29 06:55:07,728 INFO: 定义数据预处理
2023-05-29 06:55:07,728 INFO: 加载训练集和测试集
2023-05-29 06:55:09,361 INFO: 开始训练
2023-05-29 06:55:57,697 INFO: Epoch 1/15, Loss: 1.092235514390034
2023-05-29 06:55:57,703 INFO: Epoch 1 elapsed time: 48335.953125 ms, energy Usage: 3089.753 J
2023-05-29 06:56:44,614 INFO: Epoch 2/15, Loss: 0.5968517332658962
2023-05-29 06:56:44,617 INFO: Epoch 2 elapsed time: 46911.48046875 ms, energy Usage: 3113.076 J
2023-05-29 06:57:31,762 INFO: Epoch 3/15, Loss: 0.4137894226213106
2023-05-29 06:57:31,768 INFO: Epoch 3 elapsed time: 47145.46484375 ms, energy Usage: 3190.482 J
2023-05-29 06:58:19,415 INFO: Epoch 4/15, Loss: 0.29001979879863315
2023-05-29 06:58:19,418 INFO: Epoch 4 elapsed time: 47647.453125 ms, energy Usage: 3263.647 J
2023-05-29 06:59:07,341 INFO: Epoch 5/15, Loss: 0.21247885608241218
2023-05-29 06:59:07,344 INFO: Epoch 5 elapsed time: 47924.05859375 ms, energy Usage: 3305.68 J
2023-05-29 06:59:55,472 INFO: Epoch 6/15, Loss: 0.1553343625069475
2023-05-29 06:59:55,479 INFO: Epoch 6 elapsed time: 48128.5625 ms, energy Usage: 3310.204 J
2023-05-29 07:00:43,480 INFO: Epoch 7/15, Loss: 0.1149079360184632
2023-05-29 07:00:43,483 INFO: Epoch 7 elapsed time: 48001.6640625 ms, energy Usage: 3299.326 J
2023-05-29 07:01:31,312 INFO: Epoch 8/15, Loss: 0.09169808200900743
2023-05-29 07:01:31,315 INFO: Epoch 8 elapsed time: 47829.30859375 ms, energy Usage: 3285.058 J
2023-05-29 07:02:19,060 INFO: Epoch 9/15, Loss: 0.08186214400348996
2023-05-29 07:02:19,063 INFO: Epoch 9 elapsed time: 47745.2265625 ms, energy Usage: 3278.565 J
2023-05-29 07:03:06,784 INFO: Epoch 10/15, Loss: 0.0705363767642989
2023-05-29 07:03:06,788 INFO: Epoch 10 elapsed time: 47722.26953125 ms, energy Usage: 3276.987 J
2023-05-29 07:03:54,585 INFO: Epoch 11/15, Loss: 0.057134607730457775
2023-05-29 07:03:54,589 INFO: Epoch 11 elapsed time: 47797.75390625 ms, energy Usage: 3283.021 J
2023-05-29 07:04:42,411 INFO: Epoch 12/15, Loss: 0.04824303497437576
2023-05-29 07:04:42,414 INFO: Epoch 12 elapsed time: 47823.3125 ms, energy Usage: 3290.033 J
2023-05-29 07:05:30,048 INFO: Epoch 13/15, Loss: 0.04577174101097709
2023-05-29 07:05:30,051 INFO: Epoch 13 elapsed time: 47633.96875 ms, energy Usage: 3280.655 J
2023-05-29 07:06:17,805 INFO: Epoch 14/15, Loss: 0.04391514602009539
2023-05-29 07:06:17,807 INFO: Epoch 14 elapsed time: 47753.91015625 ms, energy Usage: 3285.052 J
2023-05-29 07:07:05,705 INFO: Epoch 15/15, Loss: 0.043555298193334945
2023-05-29 07:07:05,708 INFO: Epoch 15 elapsed time: 47898.39453125 ms, energy Usage: 3301.824 J
2023-05-29 07:07:05,710 INFO: Total energy Usage: 48853.363 J
