2023-05-29 14:59:42,919 INFO: 加载预训练的ResNet模型
2023-05-29 14:59:43,383 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 14:59:44,866 INFO: 定义损失函数和优化器
2023-05-29 14:59:44,867 INFO: 定义数据预处理
2023-05-29 14:59:44,867 INFO: 加载训练集和测试集
2023-05-29 14:59:46,485 INFO: 开始训练
2023-05-29 15:00:31,040 INFO: Epoch 1/20, Loss: 2.3532555155265027
2023-05-29 15:00:31,048 INFO: Epoch 1 elapsed time: 44555.3203125 ms, energy Usage: 2964.543 J
2023-05-29 15:01:14,146 INFO: Epoch 2/20, Loss: 2.2882847993801803
2023-05-29 15:01:14,156 INFO: Epoch 2 elapsed time: 43097.7890625 ms, energy Usage: 2932.354 J
2023-05-29 15:01:57,076 INFO: Epoch 3/20, Loss: 2.238056825674497
2023-05-29 15:01:57,079 INFO: Epoch 3 elapsed time: 42920.671875 ms, energy Usage: 2915.936 J
2023-05-29 15:02:40,399 INFO: Epoch 4/20, Loss: 2.192872744034498
2023-05-29 15:02:40,402 INFO: Epoch 4 elapsed time: 43319.6015625 ms, energy Usage: 2948.287 J
2023-05-29 15:03:23,477 INFO: Epoch 5/20, Loss: 2.1500922637108046
2023-05-29 15:03:23,480 INFO: Epoch 5 elapsed time: 43075.52734375 ms, energy Usage: 2930.626 J
2023-05-29 15:04:06,269 INFO: Epoch 6/20, Loss: 2.1089009792376787
2023-05-29 15:04:06,272 INFO: Epoch 6 elapsed time: 42789.80859375 ms, energy Usage: 2908.318 J
2023-05-29 15:04:49,408 INFO: Epoch 7/20, Loss: 2.068891840867507
2023-05-29 15:04:49,411 INFO: Epoch 7 elapsed time: 43136.4296875 ms, energy Usage: 2938.65 J
2023-05-29 15:05:31,363 INFO: Epoch 8/20, Loss: 2.0298387432709717
2023-05-29 15:05:31,367 INFO: Epoch 8 elapsed time: 41952.5234375 ms, energy Usage: 2839.875 J
2023-05-29 15:06:12,537 INFO: Epoch 9/20, Loss: 1.991611481629885
2023-05-29 15:06:12,543 INFO: Epoch 9 elapsed time: 41170.203125 ms, energy Usage: 2766.029 J
2023-05-29 15:06:53,764 INFO: Epoch 10/20, Loss: 1.9541238848979656
2023-05-29 15:06:53,769 INFO: Epoch 10 elapsed time: 41221.60546875 ms, energy Usage: 2758.131 J
2023-05-29 15:07:35,248 INFO: Epoch 11/20, Loss: 1.9173485496105291
2023-05-29 15:07:35,252 INFO: Epoch 11 elapsed time: 41479.05078125 ms, energy Usage: 2770.626 J
2023-05-29 15:08:16,712 INFO: Epoch 12/20, Loss: 1.8812201240123847
2023-05-29 15:08:16,715 INFO: Epoch 12 elapsed time: 41460.91796875 ms, energy Usage: 2781.957 J
2023-05-29 15:08:58,192 INFO: Epoch 13/20, Loss: 1.8457444062599768
2023-05-29 15:08:58,195 INFO: Epoch 13 elapsed time: 41477.06640625 ms, energy Usage: 2803.362 J
2023-05-29 15:09:40,189 INFO: Epoch 14/20, Loss: 1.8109425115279663
2023-05-29 15:09:40,192 INFO: Epoch 14 elapsed time: 41994.4296875 ms, energy Usage: 2854.324 J
2023-05-29 15:10:22,891 INFO: Epoch 15/20, Loss: 1.7768675536681444
2023-05-29 15:10:22,894 INFO: Epoch 15 elapsed time: 42700.01171875 ms, energy Usage: 2904.769 J
2023-05-29 15:11:05,979 INFO: Epoch 16/20, Loss: 1.7434953655952061
2023-05-29 15:11:05,985 INFO: Epoch 16 elapsed time: 43084.98046875 ms, energy Usage: 2931.777 J
2023-05-29 15:11:48,902 INFO: Epoch 17/20, Loss: 1.7108468101574825
2023-05-29 15:11:48,905 INFO: Epoch 17 elapsed time: 42917.7890625 ms, energy Usage: 2922.178 J
2023-05-29 15:12:31,908 INFO: Epoch 18/20, Loss: 1.6790073744761638
2023-05-29 15:12:31,911 INFO: Epoch 18 elapsed time: 43003.8671875 ms, energy Usage: 2924.4 J
2023-05-29 15:13:15,061 INFO: Epoch 19/20, Loss: 1.6479616518204028
2023-05-29 15:13:15,067 INFO: Epoch 19 elapsed time: 43150.359375 ms, energy Usage: 2936.527 J
2023-05-29 15:13:58,175 INFO: Epoch 20/20, Loss: 1.6177005434647584
2023-05-29 15:13:58,182 INFO: Epoch 20 elapsed time: 43107.984375 ms, energy Usage: 2928.235 J
2023-05-29 15:13:58,186 INFO: Total energy Usage: 57668.148 J
