model,dataset,large_batch,small_batch,energy_usage
resnet50,cifar10,32,32,4177.08
resnet50,cifar10,64,32,3756.27
resnet50,cifar10,64,64,2938.92
resnet50,cifar10,128,32,3482.23
resnet50,cifar10,128,64,2763.18
resnet50,cifar10,128,128,2151.56
resnet50,cifar10,256,32,3378.55
resnet50,cifar10,256,64,2575.99
resnet50,cifar10,256,128,2037.44
resnet50,cifar10,256,256,1907.56
resnet50,cifar10,512,32,3314.14
resnet50,cifar10,512,64,2499.30
resnet50,cifar10,512,128,1973.69
resnet50,cifar10,512,256,1815.96
resnet50,cifar10,512,512,1858.14
vgg19,cifar10,32,32,9267.25
vgg19,cifar10,64,32,6894.53
vgg19,cifar10,64,64,5750.48
vgg19,cifar10,128,32,5668.89
vgg19,cifar10,128,64,4589.80
vgg19,cifar10,128,128,4099.55
vgg19,cifar10,256,32,5065.82
vgg19,cifar10,256,64,4019.65
vgg19,cifar10,256,128,3500.40
vgg19,cifar10,256,256,3441.32
vgg19,cifar10,512,32,4733.85
vgg19,cifar10,512,64,3691.27
vgg19,cifar10,512,128,3197.30
vgg19,cifar10,512,256,3159.63
vgg19,cifar10,512,512,3035.63
