frequency,model,dataset,large_batch,small_batch,epoch_time,epoch_energy
500,resnet50,cifar10,512,512,39.92,3671.45
600,resnet50,cifar10,512,512,36.38,3557.01
700,resnet50,cifar10,512,512,32.88,3442.03
800,resnet50,cifar10,512,512,30.67,3380.76
900,resnet50,cifar10,512,512,28.81,3368.32
1000,resnet50,cifar10,512,512,26.65,3260.13
1100,resnet50,cifar10,512,512,25.71,3510.00
1200,resnet50,cifar10,512,512,25.19,3802.59
1300,resnet50,cifar10,512,512,24.30,4116.12
1400,resnet50,cifar10,512,512,23.69,4583.45
1500,resnet50,cifar10,512,512,22.94,5031.62
1600,resnet50,cifar10,512,512,23.01,5137.85
noLockFrequency,resnet50,cifar10,512,512,23.76,5630.77
