# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    26    26    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24    12     1     0     0   877   502
    0    26    25    24     2     0     0     0   877   502
    0    26    25    24     1     0     0     0   877   502
    0    26    25    24     2     0     0     0   877   502
    0    26    25    24     2     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     0     0     0     0   877   502
    0    26    25    24     1     0     0     0   877   502
    0    87    26    25    14     3     0     0   877   502
    0    26    26    25   100    10     0     0   877   502
    0    88    27    25    28     5     0     0   877   502
    0    26    26    26   100    11     0     0   877   502
    0    88    27    25    33     5     0     0   877   502
    0    26    26    25   100    12     0     0   877   502
    0    88    27    25    82    12     0     0   877   502
    0    26    27    25    76     8     0     0   877   502
    0    83    27    25    46     8     0     0   877   502
    0    30    27    26   100    11     0     0   877   502
    0    66    27    25    20     5     0     0   877   502
    0    55    27    25   100     9     0     0   877   502
    0    59    27    25    16     3     0     0   877   502
    0    68    27    26   100    11     0     0   877   502
    0    62    27    25    37     5     0     0   877   502
    0    69    27    26    90    13     0     0   877   502
    0    29    27    25    60     7     0     0   877   502
    0    57    27    26    64    10     0     0   877   502
    0    26    27    25    83     9     0     0   877   502
    0    69    28    26    43     7     0     0   877   502
    0    26    27    25   100    11     0     0   877   502
    0    88    28    26    19     5     0     0   877   502
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    26    27    25   100     9     0     0   877   502
    0    87    28    26    18     3     0     0   877   502
    0    26    27    26   100    11     0     0   877   502
    0    83    27    26    40     5     0     0   877   502
    0    31    27    26    85    12     0     0   877   502
    0    65    27    25    65     7     0     0   877   502
    0    56    28    25    59     9     0     0   877   502
    0    62    27    25    98    11     0     0   877   502
    0    76    28    26   100     9     0     0   877   502
    0    26    27    26    24     4     0     0   877   502
    0    59    28    26   100    13     0     0   877   502
    0    26    27    25    49     6     0     0   877   502
    0    82    28    26    75    11     0     0   877   502
    0    26    27    26    72     8     0     0   877   502
    0    88    28    26    54     9     0     0   877   502
    0    26    27    26    98    11     0     0   877   502
    0    87    28    26    29     6     0     0   877   502
    0    80    28    25    11     3     0     0   877   502
    0    45    28    26   100    10     0     0   877   502
    0    57    28    26    36     5     0     0   877   502
    0    67    28    27    90    13     0     0   877   502
    0    63    28    25    58     6     0     0   877   502
    0    73    28    27    61     9     0     0   877   502
    0    26    27    26    88    10     0     0   877   502
    0    56    28    27    40     7     0     0   877   502
