# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    25    44    41     0     0     0     0   877   135
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    41     0     0     0     0   877  1312
    0    41    45    42     0     0     0     0   877  1312
    0    41    46    41     0     0     0     0   877  1312
    0    41    46    41     0     0     0     0   877  1312
    0    41    46    41     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    41     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    41     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
    0    41    46    42     0     0     0     0   877  1312
